R,G,B
31,29,30
31,32,24
18,37,35
6,37,42
14,38,40
38,43,36
38,35,26
36,36,36
43,47,48
48,49,43
44,47,30
34,47,30
23,33,25
37,25,25
77,38,39
27,45,59
15,21,35
31,34,43
25,35,34
27,44,34
35,43,30
40,30,21
43,26,19
57,44,38
55,41,40
56,37,41
42,25,31
25,23,26
31,41,40
44,50,50
42,36,40
34,19,40
40,22,36
53,36,44
48,46,57
19,42,48
0,45,38
9,53,38
24,45,38
57,47,58
61,38,56
57,46,52
40,53,46
36,63,58
57,74,81
77,71,81
92,66,75
27,25,28
15,30,25
16,46,36
21,47,38
33,44,40
35,35,33
25,19,19
35,23,25
36,24,26
31,33,30
1,21,12
15,35,26
54,56,55
45,34,38
39,35,36
22,31,28
14,31,15
18,24,12
36,25,21
53,31,33
42,23,25
23,22,20
16,32,29
8,29,24
30,31,35
44,22,34
36,8,22
50,39,45
32,44,42
18,41,33
34,46,42
37,37,37
19,14,20
26,27,31
23,32,31
11,27,24
25,44,38
16,28,24
15,20,16
39,38,36
33,33,31
22,26,25
24,35,31
4,19,16
12,26,26
29,37,40
15,12,19
32,22,33
10,38,41
23,34,30
16,13,8
23,21,22
18,23,26
24,29,25
33,37,23
26,40,27
8,37,32
1,30,28
16,27,21
41,38,33
26,26,26
9,19,21
10,19,16
30,30,20
33,27,31
34,28,30
41,31,30
39,21,21
52,31,30
55,35,34
25,17,14
21,23,18
27,32,26
34,33,29
39,31,29
31,23,21
33,33,33
23,31,33
28,39,43
37,48,54
56,36,35
28,35,28
11,37,28
13,26,17
47,32,27
50,25,20
37,22,17
32,27,23
50,39,33
64,45,31
56,44,22
42,47,27
21,38,28
22,34,34
41,37,36
35,20,13
32,35,24
52,47,41
46,41,38
18,29,25
4,35,27
14,45,37
35,46,40
53,42,40
64,45,39
50,36,25
54,44,32
60,47,38
51,33,29
65,46,50
79,59,70
64,46,58
33,46,54
42,57,50
52,60,47
70,54,55
61,33,45
57,43,42
51,55,38
44,46,32
69,55,55
73,53,55
61,58,43
60,69,42
57,59,45
70,60,61
64,54,55
52,54,41
34,44,35
27,49,36
42,63,48
51,48,41
50,29,28
49,34,31
39,40,34
40,42,37
49,40,41
44,38,40
42,54,52
24,45,38
36,41,37
71,55,56
67,51,51
59,56,49
73,48,52
53,41,45
44,52,55
30,45,52
32,36,47
58,45,55
62,41,46
43,36,30
37,48,34
43,53,44
55,42,49
58,25,42
59,28,43
63,47,50
52,52,44
35,39,24
57,39,35
49,29,30
47,32,35
35,36,38
18,33,30
24,33,30
32,31,29
23,22,20
23,34,30
16,33,25
28,44,34
22,34,24
23,33,22
33,38,31
49,37,39
53,21,32
12,31,35
21,37,37
28,30,29
51,31,32
47,21,24
42,33,34
10,26,25
12,30,32
26,25,31
34,21,28
30,27,22
18,24,12
21,29,16
37,42,35
30,47,41
15,46,40
38,29,24
49,45,44
31,32,36
22,28,28
21,26,19
45,47,36
34,29,25
35,29,31
42,40,41
43,46,39
40,48,37
28,34,30
25,29,38
28,34,50
19,29,41
11,24,32
21,46,53
27,40,33
28,32,18
31,42,36
19,36,44
9,22,30
31,30,26
47,37,28
51,37,36
55,38,48
52,35,43
32,24,21
34,45,29
25,46,29
10,17,9
50,38,38
18,45,56
20,32,44
32,39,45
18,37,31
32,56,40
36,40,26
43,19,15
72,48,48
61,60,58
38,50,50
36,39,46
35,34,42
26,38,38
34,55,46
51,58,50
54,39,34
50,41,58
32,25,32
43,39,40
40,39,47
24,30,42
27,42,45
32,49,41
35,44,41
47,41,53
50,39,55
53,54,58
46,67,60
32,61,59
40,54,65
76,62,79
106,69,86
39,41,38
23,49,38
2,45,28
1,39,24
7,27,16
26,37,29
25,36,28
20,33,24
30,43,34
12,34,22
0,25,8
0,35,18
3,39,25
26,52,41
20,46,37
8,40,29
13,30,24
19,25,23
30,21,22
38,17,22
47,28,30
40,35,32
38,50,40
24,37,27
28,29,24
44,28,29
51,35,38
42,42,42
19,40,35
22,44,42
47,50,55
52,36,49
15,19,18
24,35,31
20,35,28
14,29,22
28,39,31
20,22,17
31,23,20
50,34,34
56,40,41
50,40,39
29,30,25
31,42,36
27,39,35
21,30,29
21,25,26
41,42,44
11,37,38
11,20,17
31,26,22
43,41,42
36,39,44
32,37,33
32,36,22
14,28,15
14,43,38
16,45,41
31,42,36
42,39,32
33,33,33
5,14,19
16,25,24
28,28,20
16,26,18
13,14,9
40,30,31
40,25,28
33,25,23
31,32,24
37,40,29
34,40,26
32,40,27
28,38,27
20,30,22
19,23,22
34,35,39
32,40,42
6,26,24
3,34,28
60,37,45
36,28,43
14,27,44
16,43,50
20,42,39
17,27,19
17,23,23
12,27,30
18,38,39
35,44,41
55,50,46
34,39,35
14,45,40
0,39,38
1,29,32
17,17,27
35,40,36
50,38,42
38,27,33
3,29,26
0,47,34
6,46,37
36,30,32
58,29,31
55,35,28
66,53,37
64,36,24
72,32,24
56,27,19
55,53,41
39,47,36
29,31,26
40,51,43
33,47,50
38,46,57
51,45,49
57,43,40
59,52,46
55,57,54
54,49,43
64,45,31
70,48,34
51,51,43
42,58,55
49,62,53
61,59,46
67,58,49
60,51,54
60,46,45
55,48,42
65,56,51
69,48,45
83,53,53
60,36,34
35,28,22
43,44,38
43,48,42
33,46,39
21,47,38
19,51,38
32,53,44
54,61,54
42,45,38
41,49,38
73,38,45
49,51,50
12,47,41
22,53,55
39,42,51
46,30,40
37,32,29
35,47,35
46,63,47
43,48,41
52,43,48
46,34,44
41,34,42
43,41,42
51,52,44
38,42,28
21,22,17
27,22,18
55,52,47
31,38,31
21,33,29
35,36,40
37,24,33
31,19,23
50,51,46
40,50,39
28,36,25
21,28,20
15,28,19
30,43,34
32,34,29
29,18,16
33,17,30
20,21,25
8,19,11
14,15,7
27,16,12
47,39,37
36,37,39
35,40,44
34,32,37
32,28,29
39,38,33
44,37,27
50,26,22
60,28,31
51,30,35
34,34,36
46,16,42
39,28,42
22,36,36
5,30,26
14,29,34
35,29,39
48,27,34
58,37,34
57,47,37
43,46,37
27,36,31
47,52,46
44,45,39
37,36,31
29,33,36
19,26,36
20,39,37
23,24,26
34,24,25
38,30,27
28,33,29
27,35,38
32,31,37
29,18,16
58,35,29
57,17,25
56,8,34
49,11,34
42,33,28
30,45,22
15,36,21
18,29,33
19,40,45
40,34,44
53,38,45
31,41,33
15,42,25
31,43,31
51,35,36
51,36,43
32,41,48
27,47,54
33,39,51
19,17,28
0,14,13
20,48,33
49,52,35
81,44,36
45,31,46
44,48,47
22,39,29
16,26,27
49,37,51
65,43,56
52,43,44
43,52,49
44,55,61
49,48,62
63,58,65
51,57,57
37,56,60
49,65,80
73,64,83
96,63,82
46,38,36
23,33,25
8,32,19
7,24,14
30,37,29
28,41,31
13,41,26
0,28,11
18,40,27
32,48,37
15,43,28
5,50,30
5,52,34
12,46,32
15,32,24
34,43,40
26,34,37
22,25,30
20,15,21
47,30,36
57,37,39
58,44,43
39,39,31
22,28,16
29,30,22
45,40,36
45,41,38
25,36,32
9,34,30
22,42,43
41,39,50
35,14,33
29,34,28
38,49,41
24,40,30
25,37,27
32,37,30
33,30,23
46,37,32
44,26,24
53,32,31
57,39,39
35,32,27
23,30,23
22,32,24
38,43,39
32,34,31
18,20,19
19,35,32
26,27,29
33,22,28
34,28,30
35,34,30
37,32,29
39,29,30
38,34,33
32,43,37
25,40,33
24,26,25
35,29,33
33,33,33
24,30,26
25,27,26
25,16,21
18,29,15
22,23,15
36,30,30
31,31,31
20,32,28
27,43,32
32,38,24
38,35,20
45,39,25
24,30,18
16,33,25
24,38,38
24,29,33
27,28,32
24,36,32
4,27,17
40,18,31
53,31,52
26,16,40
8,20,36
11,36,41
27,47,48
19,30,32
14,30,30
12,34,32
16,34,38
30,32,45
25,25,35
20,41,36
7,45,34
12,41,45
20,32,56
28,31,36
43,31,41
30,23,31
8,28,27
14,49,42
38,47,44
50,19,25
43,7,11
46,33,24
42,43,25
59,46,30
64,36,24
47,35,19
43,57,34
42,60,38
35,42,26
22,34,20
30,45,52
42,50,71
48,47,55
51,47,38
55,56,50
54,57,62
55,47,44
57,35,14
76,55,34
66,66,64
45,65,72
34,55,50
44,49,27
58,48,36
56,39,47
77,57,56
83,62,61
76,52,50
66,38,37
76,48,45
64,43,38
42,31,25
40,41,33
41,54,44
32,56,43
13,43,31
12,44,31
29,55,42
48,66,54
43,55,43
32,40,29
70,40,50
37,49,47
0,42,32
5,37,32
40,39,44
46,35,41
34,40,36
24,41,31
47,54,46
47,39,37
43,42,40
23,42,36
19,46,37
33,48,41
55,51,48
55,37,37
13,34,27
34,44,36
36,39,30
27,33,23
49,54,50
48,43,50
47,29,43
55,40,47
39,36,31
44,48,33
38,38,26
27,26,21
26,32,30
32,49,43
28,44,33
27,33,19
42,15,20
51,43,41
19,30,24
15,30,25
28,33,29
37,31,31
43,31,31
57,46,44
41,31,29
43,35,32
37,29,27
38,19,21
61,26,33
68,25,34
55,16,21
54,25,27
41,31,55
32,34,46
12,31,29
23,48,45
25,40,47
31,31,43
54,42,46
33,16,9
25,13,1
45,36,31
48,39,40
51,39,39
45,32,26
47,34,28
46,35,39
24,16,29
15,28,19
40,35,39
48,27,36
48,30,30
27,24,15
38,47,42
33,43,45
33,33,33
55,40,35
62,27,33
64,14,39
48,4,31
34,17,23
32,43,27
25,47,34
21,41,42
28,47,43
55,32,42
81,34,50
48,29,33
8,28,19
30,49,43
54,49,55
34,23,37
30,32,45
36,35,51
54,32,53
48,27,42
18,33,28
24,57,38
44,47,30
75,30,24
44,39,46
37,46,41
29,45,34
41,41,43
62,39,55
62,36,49
47,42,39
46,58,54
35,46,52
52,41,58
72,48,64
62,49,59
45,53,64
48,64,80
60,63,82
77,63,80
49,24,28
42,30,30
38,33,30
37,23,22
55,39,39
50,51,43
33,60,43
20,49,31
48,56,45
38,28,26
31,30,25
28,48,37
11,41,29
27,40,33
44,29,34
45,9,21
41,42,46
33,37,40
26,27,29
48,42,46
55,36,42
47,26,31
31,19,19
20,21,16
16,21,15
32,37,33
35,41,37
25,37,35
13,32,30
18,29,31
38,31,39
45,21,37
44,36,33
40,41,35
20,27,19
34,39,32
30,31,23
24,25,17
42,43,35
36,33,26
34,25,20
38,29,24
34,35,29
29,34,27
24,25,20
44,36,34
50,38,40
40,31,32
32,39,31
27,24,31
31,20,34
30,24,24
29,25,16
42,28,28
54,27,42
46,22,35
41,30,26
37,34,25
26,21,25
34,28,40
30,31,33
35,43,32
39,38,36
43,29,44
32,30,17
39,36,27
32,32,30
22,31,30
17,33,30
36,49,40
41,41,29
56,42,31
55,37,27
45,36,29
43,45,44
31,34,39
43,42,50
48,38,46
26,17,18
38,33,29
33,23,22
28,16,20
34,18,28
60,42,54
41,28,38
29,22,29
20,22,19
36,39,28
26,27,19
28,27,32
31,33,46
36,37,41
45,46,30
43,40,21
31,33,32
15,21,45
21,20,28
28,33,37
27,37,36
28,34,30
42,31,29
57,22,26
66,25,29
68,42,41
39,36,27
20,34,19
37,55,39
26,40,25
26,37,21
38,45,27
55,56,38
52,45,29
24,44,33
31,46,49
35,41,57
42,38,52
55,48,55
58,60,59
47,53,49
41,39,27
73,56,40
74,56,42
56,52,49
40,55,58
39,58,54
54,60,48
67,58,49
61,43,41
46,45,40
58,49,44
64,49,44
57,44,38
40,31,22
50,41,32
57,50,40
35,38,27
26,44,30
31,55,41
29,51,39
36,52,42
37,48,40
27,34,26
48,45,38
62,48,45
45,35,44
36,48,48
20,46,37
16,31,24
42,38,35
42,36,36
42,46,45
38,44,44
41,37,38
40,31,32
37,44,37
15,48,31
8,47,28
21,41,30
52,40,42
63,27,41
8,39,33
12,28,18
28,30,19
45,42,33
35,34,32
39,29,40
60,46,61
25,20,26
22,30,19
29,38,19
41,37,25
44,33,31
41,39,42
24,36,32
22,40,28
37,52,33
49,42,32
52,47,41
31,33,32
23,33,35
31,41,42
38,36,37
42,24,22
56,31,26
50,27,21
42,23,19
45,24,29
44,23,32
44,27,35
51,35,36
52,31,28
55,26,20
4,27,17
21,40,36
19,31,31
17,26,25
31,40,35
34,44,36
27,34,27
28,27,23
32,18,18
56,35,34
68,39,41
64,35,40
46,22,35
36,15,32
45,26,45
37,20,36
13,34,25
36,41,37
46,34,36
56,40,43
37,32,29
26,34,23
14,30,17
30,41,37
29,28,34
41,28,37
56,37,41
46,31,34
32,31,36
34,45,49
29,45,42
19,35,24
8,38,28
50,29,36
81,24,43
63,27,41
37,41,42
34,48,48
39,36,43
43,29,42
46,34,48
70,46,62
73,28,49
62,25,42
42,51,46
23,60,42
20,32,18
66,32,31
5,34,29
29,39,31
60,42,40
70,38,49
60,36,52
44,43,48
33,50,40
33,48,43
49,41,54
69,39,63
78,45,64
67,49,61
57,61,73
55,66,86
53,60,79
60,59,73
40,18,21
49,37,37
41,33,31
40,20,21
44,18,21
53,42,38
36,48,36
29,43,30
40,35,29
51,26,29
43,23,25
32,28,25
28,30,27
39,27,31
55,21,35
70,21,40
33,42,37
26,39,32
22,37,32
30,36,34
44,33,39
32,12,23
32,19,29
30,29,35
24,32,35
26,34,37
23,27,30
27,28,32
35,35,37
37,31,33
43,22,27
41,10,18
31,20,18
30,29,24
19,24,17
35,36,30
28,25,20
20,23,14
24,36,24
23,33,22
27,27,19
27,24,19
40,43,36
39,44,37
23,18,15
35,16,18
47,28,32
46,31,34
25,28,21
34,35,37
21,20,25
16,16,14
41,38,33
51,36,39
47,19,33
53,23,35
61,41,42
51,41,39
32,32,32
22,30,33
15,27,25
21,32,26
32,33,35
41,33,46
34,28,16
45,45,37
31,37,33
16,26,25
18,27,26
31,33,30
30,30,22
41,37,26
44,35,26
70,54,54
41,24,32
27,11,22
51,39,51
37,26,34
35,19,22
59,37,39
35,40,17
14,25,9
30,32,27
66,44,46
63,24,27
55,25,25
34,25,18
22,20,7
44,32,20
50,32,28
44,32,34
38,31,25
43,30,11
52,32,8
51,38,29
34,33,41
43,32,38
32,45,38
21,48,31
31,37,23
57,28,22
66,25,21
62,35,28
56,52,43
37,44,37
19,36,30
30,57,50
13,43,35
26,41,36
46,41,37
60,39,36
61,36,32
34,65,57
32,51,49
33,32,40
46,32,49
62,50,64
56,57,59
38,50,38
36,43,25
53,47,33
55,40,33
54,44,42
58,60,57
52,61,58
52,54,49
64,55,48
68,51,41
45,62,52
56,61,54
58,58,50
57,60,49
31,39,24
46,48,35
64,62,50
42,44,33
25,41,28
26,46,34
36,46,38
46,45,41
52,48,45
38,33,29
54,38,38
71,41,43
22,37,42
45,49,52
52,47,44
47,38,33
50,41,34
47,37,35
55,43,47
56,44,54
33,31,36
22,31,28
25,41,28
25,44,25
30,47,29
39,42,35
55,38,46
57,24,41
4,34,26
47,58,50
47,40,32
44,33,29
54,45,46
45,37,48
42,39,50
28,38,39
17,40,24
22,39,20
51,47,36
62,44,44
55,40,45
27,29,28
33,43,34
51,60,43
29,37,26
19,16,11
45,36,37
34,35,37
18,30,26
39,39,37
45,27,27
62,38,36
59,40,36
45,30,27
50,30,32
40,24,27
20,22,19
27,40,31
45,51,41
58,49,40
21,51,27
21,38,28
34,38,41
31,29,30
24,26,15
24,37,19
21,35,22
26,30,31
43,32,38
55,31,31
63,32,30
63,34,39
50,29,48
28,14,40
41,32,53
44,36,49
19,42,34
24,37,28
37,37,35
45,39,43
43,42,40
12,18,4
10,22,2
37,43,41
32,30,44
31,25,37
40,40,32
35,43,30
19,34,37
21,39,53
27,43,43
28,43,20
14,52,41
45,38,45
64,25,43
54,23,38
40,35,41
28,27,32
30,19,25
52,41,47
54,50,51
50,38,40
68,37,45
73,42,50
34,36,35
20,50,40
32,47,44
45,30,37
0,47,32
29,42,33
78,42,46
93,40,58
69,41,56
45,55,54
33,61,47
30,41,37
61,43,59
75,41,66
71,44,61
61,51,60
63,67,79
64,71,90
55,60,79
51,55,66
24,29,25
23,38,31
16,31,24
28,29,24
39,27,27
53,45,42
37,42,35
27,34,26
35,32,27
52,38,38
50,38,40
34,28,28
32,23,26
37,20,28
45,23,35
49,29,40
30,51,36
22,46,32
14,37,27
21,33,31
40,37,44
32,21,35
29,25,39
22,28,40
17,27,37
31,33,45
32,24,37
35,19,30
44,27,33
54,34,36
58,27,32
50,9,15
14,14,12
28,39,31
31,42,34
30,31,26
29,21,19
35,34,30
19,26,19
13,18,12
26,21,18
30,20,19
43,39,36
29,29,27
20,11,12
37,20,26
39,28,32
20,20,20
22,26,27
19,29,20
17,29,17
19,25,23
31,29,34
47,36,42
50,36,35
46,27,29
32,15,23
23,16,23
23,34,28
27,49,36
37,58,53
32,45,51
22,29,35
15,19,20
19,20,12
33,45,35
31,48,40
20,30,29
30,31,33
27,27,27
24,35,29
27,47,36
23,39,29
28,24,23
53,32,41
36,12,26
37,24,34
43,38,42
35,29,29
43,31,31
24,44,7
16,41,22
18,40,37
22,28,24
50,36,25
54,36,26
35,27,25
18,22,23
33,34,28
58,39,32
64,30,29
51,21,21
25,15,6
24,28,11
37,43,29
36,37,32
47,29,27
36,39,28
22,46,24
24,44,19
42,45,24
53,47,31
45,43,30
30,38,27
29,38,35
30,33,38
39,39,49
31,31,41
41,40,48
51,41,49
42,21,26
53,22,28
16,58,44
31,49,49
46,35,49
56,34,47
60,45,52
47,47,45
38,49,43
44,56,44
43,45,31
51,41,31
63,48,45
71,61,62
56,57,51
48,50,37
64,56,45
72,53,47
47,64,56
55,61,57
27,28,22
25,28,19
32,40,27
45,47,36
56,52,43
65,65,57
31,41,32
32,45,36
44,46,41
35,31,30
47,43,42
53,52,48
54,44,43
53,33,34
23,52,50
52,50,55
63,34,39
67,39,38
61,46,41
61,43,43
64,34,44
58,36,48
35,40,43
11,39,27
17,38,23
39,35,24
65,44,39
65,45,46
59,44,51
44,32,42
17,38,29
39,41,36
52,38,37
47,31,32
33,24,27
38,35,42
43,46,51
24,43,39
12,43,28
19,42,24
52,49,40
58,36,38
48,27,32
39,30,31
48,47,42
44,41,34
36,25,31
16,1,6
42,32,30
31,37,27
18,32,19
38,39,33
41,29,31
47,38,43
31,42,38
33,48,41
34,37,30
27,18,11
23,23,13
18,34,21
15,35,24
32,47,42
49,55,53
43,47,48
33,31,34
49,47,50
43,43,43
24,29,25
37,42,38
36,37,32
41,31,29
48,33,30
49,31,29
45,31,30
41,37,36
29,33,34
34,44,45
18,30,30
24,31,24
29,33,36
35,35,43
28,29,31
34,40,28
24,31,15
34,37,28
52,42,51
49,26,44
44,18,29
46,30,31
36,32,31
18,25,31
19,34,39
22,41,35
23,45,24
20,44,46
33,38,44
49,39,48
37,27,35
24,19,23
38,27,31
45,33,33
33,36,29
17,44,29
12,43,27
34,45,37
55,49,49
36,31,35
34,39,43
42,45,52
41,35,47
21,62,54
29,44,37
58,40,40
78,42,56
70,41,59
55,48,55
46,53,46
38,44,42
47,41,53
60,46,63
57,45,55
54,49,55
59,61,73
63,66,85
59,60,78
55,55,65
12,39,30
0,32,21
14,41,32
35,46,40
52,52,50
43,48,42
36,52,42
29,45,35
23,30,23
25,27,24
29,35,33
26,32,32
32,30,35
43,33,42
40,39,45
14,25,29
28,50,38
32,53,44
22,37,32
36,40,43
42,37,44
36,33,44
18,27,36
12,31,38
11,24,33
32,28,42
48,27,44
53,29,43
48,27,36
46,25,30
62,31,37
70,30,38
16,35,29
20,46,37
25,46,39
23,25,24
32,21,25
42,36,38
22,26,25
24,26,25
38,26,30
37,20,26
41,32,35
19,17,20
20,11,16
38,27,33
37,36,41
19,35,34
24,24,26
34,44,33
22,33,17
15,15,15
33,22,36
35,26,31
28,25,18
40,40,32
42,37,43
27,26,34
22,38,28
16,40,24
28,47,43
29,35,49
25,29,40
19,29,28
19,28,23
30,43,36
32,47,40
25,36,30
30,34,33
20,29,28
28,48,46
31,62,57
7,33,30
13,21,24
39,28,36
46,31,38
38,32,36
32,36,37
48,54,54
22,26,27
22,37,8
3,20,12
11,35,39
7,37,29
28,47,28
30,31,23
30,26,40
29,36,52
11,25,25
47,38,31
70,31,34
68,30,43
25,24,29
5,37,24
17,44,29
21,24,17
47,30,23
35,26,17
25,33,18
21,46,25
16,48,25
15,42,23
26,42,31
42,48,44
36,34,37
47,34,44
47,24,40
43,20,36
46,36,47
48,47,53
34,27,34
49,32,40
1,42,26
32,43,47
56,39,55
58,37,44
49,40,33
42,45,38
38,46,48
43,49,47
57,59,45
58,51,35
64,46,42
65,51,51
54,55,41
58,63,40
77,65,51
74,42,47
52,58,58
61,59,60
51,45,45
52,48,45
55,55,47
46,41,35
36,27,22
41,36,30
42,45,38
41,48,41
50,52,49
34,36,33
34,40,36
41,52,46
38,48,40
47,49,44
29,54,50
54,48,50
59,28,36
67,38,42
61,45,45
61,45,45
62,37,41
63,44,48
42,51,46
23,51,37
28,46,34
44,33,29
63,31,36
53,26,31
41,30,34
29,33,34
27,40,30
34,33,29
49,33,36
46,31,36
34,28,32
40,38,41
34,36,35
28,43,38
16,42,31
12,32,21
36,33,28
48,28,27
42,22,21
38,28,26
46,36,35
40,26,26
62,27,47
44,21,31
29,26,21
24,36,22
32,43,29
33,32,27
37,28,33
22,27,31
23,52,48
19,55,45
28,48,36
35,31,20
41,28,20
39,36,29
23,38,33
16,42,39
30,18,40
45,39,49
35,36,38
32,40,42
40,46,58
35,37,50
38,36,41
46,42,33
42,36,24
43,36,30
33,28,25
31,31,23
29,38,17
21,39,13
23,46,28
2,29,20
36,21,24
39,27,41
38,31,49
37,37,37
31,38,20
33,44,28
37,41,44
45,35,46
41,16,22
50,15,21
59,25,41
52,25,44
35,24,32
32,35,26
20,37,21
9,33,20
25,23,36
26,33,41
29,43,44
22,34,30
29,30,25
50,40,38
46,41,37
23,39,29
0,41,25
13,66,50
6,48,38
25,39,40
49,39,48
48,31,41
37,24,33
52,46,50
48,48,56
38,44,42
29,36,29
30,29,34
46,32,47
63,43,54
63,49,49
47,46,44
41,44,51
53,57,68
56,57,61
56,54,55
55,54,62
56,55,71
58,60,73
58,59,64
13,40,33
13,29,26
41,42,44
53,42,46
41,37,36
15,32,24
11,43,30
10,36,25
25,36,30
46,52,50
28,44,41
7,26,24
34,39,43
27,21,31
6,4,15
0,12,18
18,29,31
36,39,44
40,30,39
54,34,46
49,31,43
32,31,37
15,35,34
21,52,47
30,48,48
34,27,35
44,20,34
56,34,46
46,35,43
32,26,30
43,28,35
53,27,38
20,39,37
8,33,29
16,36,34
27,28,32
34,23,29
30,28,31
25,37,35
29,41,39
42,40,45
39,28,36
41,36,42
25,23,28
32,22,31
36,20,31
26,23,30
25,41,41
47,37,36
42,41,36
40,37,32
39,23,26
39,13,24
34,19,24
26,28,25
21,30,25
27,29,28
25,27,26
27,38,32
22,37,32
31,35,38
43,33,44
39,33,45
38,42,51
40,35,41
39,34,38
35,34,32
31,36,30
15,26,20
4,18,18
19,34,39
26,39,48
30,38,49
16,20,29
31,32,36
17,17,17
27,26,24
30,30,30
32,36,39
33,41,44
39,30,21
17,13,12
21,30,29
11,27,16
22,36,23
39,39,47
38,32,58
23,21,42
23,27,26
37,33,24
42,23,27
49,35,50
27,32,36
22,42,31
37,49,39
34,30,29
57,53,44
37,34,27
26,25,20
26,31,27
21,33,31
13,32,30
21,35,36
42,37,44
54,30,43
59,36,46
43,32,36
31,35,34
37,43,41
49,50,52
44,45,47
45,50,53
14,46,43
36,42,42
56,40,41
55,41,40
42,43,37
39,46,38
44,46,41
46,42,41
51,42,43
57,43,40
68,51,41
67,60,41
49,57,33
52,60,39
76,57,50
78,32,35
52,56,59
49,49,51
57,53,54
50,46,45
44,39,35
45,37,34
53,42,40
57,47,45
60,55,52
50,49,47
41,41,41
42,44,43
40,49,46
37,52,47
32,49,41
40,55,48
40,47,40
54,50,49
55,38,44
57,38,44
52,40,44
43,39,36
48,45,38
59,55,46
50,47,38
42,48,38
39,49,41
33,37,36
40,31,34
31,16,19
28,20,18
26,29,22
23,35,21
37,36,32
44,31,38
40,30,39
33,31,36
37,36,34
28,23,20
32,32,30
28,39,35
24,33,32
34,28,28
53,35,33
48,33,26
37,30,22
39,27,27
55,35,44
54,22,35
38,26,30
28,32,31
27,36,31
31,31,29
23,19,18
37,35,36
29,35,35
30,42,38
18,33,28
25,36,30
26,25,21
26,12,12
38,26,28
32,41,38
14,41,32
30,27,36
25,26,30
36,46,45
22,38,37
9,23,26
26,33,39
33,34,36
31,28,23
43,39,30
39,34,28
29,26,21
35,36,28
23,31,16
11,28,10
18,41,25
19,47,35
42,30,44
30,19,33
42,32,41
54,45,46
37,36,32
25,36,30
22,43,38
19,39,30
21,26,20
33,22,26
48,25,41
47,23,39
45,25,27
40,32,21
28,34,20
22,39,29
52,31,48
34,39,45
16,43,34
10,34,20
23,29,17
34,30,21
34,33,28
43,52,51
36,51,56
21,46,53
9,38,46
31,45,54
42,30,42
51,24,33
52,34,32
44,45,31
53,28,49
56,45,51
33,39,35
8,28,27
21,40,46
49,57,60
61,52,53
58,43,46
56,44,56
60,60,70
56,65,64
56,61,57
54,49,56
54,47,63
56,59,68
45,57,55
26,40,40
42,35,42
68,36,49
75,34,50
33,16,22
16,37,30
10,53,36
9,41,28
30,36,34
36,36,38
23,35,33
7,27,26
28,37,42
33,25,38
29,17,31
22,18,32
27,25,39
43,29,46
54,22,43
58,16,38
56,25,41
19,17,20
9,36,27
19,55,43
19,39,30
32,23,26
44,21,29
47,32,39
28,29,34
19,28,33
36,36,44
41,30,44
10,18,21
6,22,22
24,38,39
36,35,41
33,23,31
19,24,27
23,50,45
8,37,32
12,26,27
19,20,25
32,35,40
29,30,35
51,37,50
49,26,42
26,14,26
23,28,34
60,41,35
57,45,47
52,35,45
56,25,33
63,27,31
50,27,33
26,26,34
17,29,29
19,24,17
28,29,21
32,36,37
30,33,42
33,22,30
50,27,35
36,20,31
29,26,45
44,20,36
41,15,28
38,19,23
47,44,39
18,31,24
8,24,23
25,27,40
35,21,46
48,32,58
30,26,41
29,37,40
23,32,27
38,37,33
29,20,23
31,24,32
30,28,39
56,24,29
50,32,30
42,34,23
24,15,0
34,18,18
39,24,45
28,15,45
46,32,47
57,40,32
43,35,24
16,24,26
29,43,52
32,36,35
46,36,24
56,39,31
36,21,26
31,37,27
34,44,36
38,39,41
40,19,34
41,16,38
42,35,53
33,39,51
30,16,31
51,10,28
51,24,31
24,42,30
8,53,30
20,48,33
42,41,37
44,44,44
23,44,39
35,57,71
43,45,40
58,45,28
57,50,44
39,47,50
35,46,40
51,52,34
67,54,48
70,52,68
61,43,57
64,51,34
63,64,22
44,59,26
48,55,48
81,56,59
97,39,35
38,48,50
44,52,54
54,58,59
41,41,39
53,49,46
57,49,46
52,42,40
56,44,44
58,48,47
64,55,56
46,42,43
48,48,50
42,48,46
41,52,48
40,55,50
38,55,47
53,46,38
54,53,48
50,48,51
44,34,43
44,37,44
24,33,28
27,45,29
41,48,32
52,38,27
49,31,27
34,36,33
20,42,39
30,50,48
32,36,35
37,29,26
37,30,22
26,39,21
44,45,40
49,39,48
37,34,45
21,22,26
38,34,31
48,34,31
41,31,30
23,21,24
41,40,46
45,36,39
51,36,31
44,34,22
35,31,20
33,23,22
63,41,54
54,43,41
16,18,15
25,35,36
29,29,37
24,14,25
26,19,26
34,36,33
22,22,14
32,17,14
50,30,32
52,43,48
42,39,48
46,38,49
47,38,43
29,34,28
21,44,28
44,59,40
32,48,37
5,24,20
14,35,28
21,41,29
10,28,12
24,35,27
39,40,44
48,43,47
54,46,43
46,39,29
47,44,37
19,20,24
1,10,17
9,25,25
18,39,32
38,38,64
18,17,23
42,38,29
48,36,38
38,27,43
15,26,30
22,60,39
7,56,26
0,36,20
2,26,30
25,29,38
45,36,37
54,36,34
44,29,26
32,29,20
39,47,32
51,24,41
21,26,29
18,49,34
22,47,28
14,20,6
26,23,14
44,43,39
57,49,60
53,35,59
36,23,53
14,18,45
36,43,62
49,38,52
